,Goodreads_ID,ISBN,Title,Author,Imprint,Publisher_Group,Volume,Value,RRP,ASP,Binding,Publ_Date,Product_Class,book_series,num_pages,num_goodreads_ratings,average_goodreads_ratings,num_goodreads_reviews
81,119822.Sharon_Osbourne_Extreme,9.78032E+12,Sharon Osbourne Extreme:My Autobiography,"Osbourne, Sharon",Time Warner Books,"Little, Brown Book Grp","656,431","$9,495,821.79 ",$25.45 ,$14.47 ,Hardback,10/3/05,T4.1A  Autobiography:  The Arts,nan,365,3096,3.85,209
78,33722.The_Undomestic_Goddess,9.78055E+12,"Undomestic Goddess,The","Kinsella, Sophie",Black Swan,Transworld Grp,"658,598","$4,392,169.50 ",$10.71 ,$6.67 ,Paperback,1/2/06,F1.1  General & Literary Fiction,nan,404,276519,3.85,8836
29,2120932.The_Battle_of_the_Labyrinth,9.78075E+12,Labyrinth,"Mosse, Kate",Orion (an Imprint of The Orion,Orion Grp,"1,065,008","$7,853,500.39 ",$10.71 ,$7.37 ,Paperback,1/11/06,F1.1  General & Literary Fiction,Percy Jackson and the Olympians,361,870376,4.4,24022
40,828387.A_Short_History_of_Tractors_in_Ukrainian,9.78014E+12,"Short History of Tractors in Ukrainian,A","Lewycka, Marina",Penguin Books,Penguin Grp,"904,498","$7,651,736.05 ",$10.71 ,$8.46 ,Paperback,3/2/06,F1.1  General & Literary Fiction,nan,326,29268,3.41,2924
30,295.Treasure_Island,9.78076E+12,"Island,The","Hislop, Victoria",Headline Review,Headline Grp,"1,056,432","$7,611,936.64 ",$10.71 ,$7.21 ,Paperback,4/10/06,F1.1  General & Literary Fiction,nan,311,439098,3.84,13538
80,663323.I_Know_You_Got_Soul,9.78014E+12,I Know You Got Soul,"Clarkson, Jeremy",Penguin Books,Penguin Grp,"658,274","$4,805,328.43 ",$10.71 ,$7.30 ,Paperback,5/25/06,T12.0  Transport: General,nan,233,2064,3.7,113
69,25304054-the-dangerous-books-for-boys,9.78001E+12,"Dangerous Book for Boys,The","Iggulden, Conn & Iggulden, Hal",HarperCollins Publishers,HarperCollins Grp,"688,808","$11,745,500.26 ",$26.80 ,$17.06 ,Hardback,6/5/06,"T11.5  Hobbies, Pastimes & Indoor Games",nan,299,4,4.75,0
50,1147591.The_Sound_of_Laughter,9.78185E+12,"Sound of Laughter,The","Kay, Peter",Century,Random House Grp,"853,499","$12,473,197.31 ",$25.45 ,$14.62 ,Hardback,10/5/06,T4.0A  Autobiography: General,nan,368,2995,3.9,197
37,820394.The_Interpretation_of_Murder,9.78076E+12,"Interpretation of Murder,The","Rubenfeld, Jed",Headline Review,Headline Grp,"950,686","$7,270,740.30 ",$10.71 ,$7.65 ,Paperback,1/15/07,"F2.1  Crime, Thriller & Adventure",Freud,533,14901,3.57,1366
43,1754278.The_Boy_in_the_Striped_Pyjamas,9.7801E+12,"Boy in the Striped Pyjamas,The","Boyne, John",Definitions,Transworld Grp,"885,450","$6,107,365.61 ",$9.37 ,$7.61 ,Paperback,2/1/07,Y2.2  Young Adult Fiction,nan,216,644817,4.16,30686
77,165030.Anybody_Out_There_,9.78014E+12,Anybody Out There?,"Keyes, Marian",Penguin Books,Penguin Grp,"658,713","$4,558,406.13 ",$10.71 ,$6.91 ,Paperback,2/8/07,F1.1  General & Literary Fiction,Walsh Family,464,59752,3.93,1731
7,41865.Twilight,9.7819E+12,Twilight,"Meyer, Stephenie",ATOM,"Little, Brown Book Grp","2,105,862","$13,599,342.06 ",$10.71 ,$6.43 ,Paperback,3/22/07,Y2.2  Young Adult Fiction,The Twilight Saga,498,5644637,3.62,113330
52,10441.The_Memory_Keeper_s_Daughter,9.78014E+12,"Memory Keeper's Daughter,The","Edwards, Kim",Penguin Books,Penguin Grp,"820,877","$6,072,215.08 ",$10.71 ,$7.40 ,Paperback,4/26/07,F1.1  General & Literary Fiction,nan,401,581400,3.68,19839
49,128029.A_Thousand_Splendid_Suns,9.78075E+12,"Thousand Splendid Suns,A","Hosseini, Khaled",Bloomsbury Publishing PLC,Bloomsbury Grp,"855,523","$10,916,342.05 ",$16.07 ,$12.76 ,Paperback,5/22/07,F1.1  General & Literary Fiction,nan,372,1304164,4.4,62253
85,4701.A_Spot_of_Bother,9.7801E+12,"Spot of Bother,A","Haddon, Mark",Vintage,Random House Grp,"645,453","$5,292,276.32 ",$10.71 ,$8.20 ,Paperback,6/7/07,F1.1  General & Literary Fiction,nan,354,34193,3.48,3406
54,1278752.The_House_at_Riverton,9.78033E+12,"House at Riverton,The","Morton, Kate",Pan Books,Pan Macmillan Grp,"793,338","$5,720,105.29 ",$10.71 ,$7.21 ,Paperback,6/15/07,F1.1  General & Literary Fiction,nan,599,110161,3.94,8558
5,136251.Harry_Potter_and_the_Deathly_Hallows,9.78075E+12,Harry Potter and the Deathly Hallows,"Rowling, J. K.",Bloomsbury Publishing PLC,Bloomsbury Grp,"2,842,059","$33,538,051.04 ",$24.11 ,$11.81 ,Hardback,7/21/07,Y2.1  Children's Fiction,Harry Potter,759,3195628,4.62,73237
10,49041.New_Moon,9.7819E+12,New Moon,"Meyer, Stephenie",ATOM,"Little, Brown Book Grp","1,975,659","$12,630,358.36 ",$10.71 ,$6.47 ,Paperback,9/6/07,Y2.2  Young Adult Fiction,The Twilight Saga,563,1663344,3.57,51182
55,468070.Nigella_Express,9.7807E+12,Nigella Express,"Lawson, Nigella",Chatto & Windus,Random House Grp,"780,665","$14,860,156.38 ",$33.50 ,$19.04 ,Hardback,9/6/07,T16.0  Food & Drink: General,nan,400,26415,3.95,228
59,1776251.Jamie_at_Home,9.78072E+12,Jamie at Home:Cook Your Way to the Good Life,"Oliver, Jamie",Michael Joseph,Penguin Grp,"741,643","$14,332,437.04 ",$40.20 ,$19.32 ,Hardback,9/6/07,T16.0  Food & Drink: General,nan,407,12774,4.1,138
79,19063.The_Book_Thief,9.78055E+12,"Book Thief,The","Zusak, Markus",Black Swan,Transworld Grp,"658,524","$4,957,380.49 ",$10.71 ,$7.34 ,Paperback,1/1/08,F1.1  General & Literary Fiction,nan,552,2131278,4.38,124529
